,index,neo4j,tomcat,jitsi,eclipse_jdt_core,spring-security,Arduino,eclipse_pde_ui,hibernate-orm,jabref,jenkins,pmd,rt_equinox_framework
0,loc,0.731264584794054,0.21527204797056582,0.5704863742648429,0.24368641925103363,0.35387544029883555,0.8116083072674214,0.5251677467119422,0.0733801475150154,0.013301929963331228,0.02737392746859508,0.44821063290106133,0.1564047528948646
1,noc,0.9880245105828337,0.9728506558935173,0.663442301287104,0.8965850337643554,0.9842282562795082,0.456276976584409,0.9356198257744718,0.9633853572690412,0.2129829458846793,0.9603987580737596,0.9874797243017578,0.9376699987152428
2,fanin,0.5468985765534277,0.05967206380100565,0.038973861394386196,0.05583791977490639,0.0012677751943719804,0.058585073321345556,0.7896236013833735,0.38944571737314526,0.08379336863085057,0.10043276249732963,0.41611956514479814,0.12555540839569684
3,fanout,0.8512900756848581,0.1722311151271958,0.13211471055037471,0.0032294270085715033,0.5471118374754873,0.37739292687436654,0.38169293512802155,0.5210410928127479,0.9908337330543467,0.11388819797684213,0.009862703060229102,0.3176612089519746
4,dit,0.41054940810922197,0.2581827426448469,0.2581827426448469,0.0023602061891956076,0.2581827426448469,0.5541734797823501,0.06507235251784119,0.2581827426448469,0.2581827426448469,0.17926513312671832,0.5154980918725123,0.14916998109381657
