,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474
alluxio,0.35714287,0.3389610425,0.33743843,0.35714287,0.36243385,0.375,0.375,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.37931034,0.60784316,0.6545454,0.65633255,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6666667,0.6509269875,0.6594761,0.6545454,0.6545454,0.65833336,0.65738637,0.6,0.6,0.5833333,0.591403165,0.5867965150000001,0.5833333,0.5925466,0.57974505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
druid,0.56601733,0.5769231,0.5916666500000001,0.60555555,0.6166666700000001,0.60555555,0.60555555,0.6,0.6666667,0.6369176624999999,0.6666667,0.6666667,0.675000025,0.71428573,0.67727275,0.67727275,0.6927739,0.6927739,0.6927739,0.75,0.75,0.75,0.75,0.74821429,0.7777778,0.75,0.75,0.75,0.75,0.7777778,0.7777778,0.7777778,0.7777778,0.7777778,0.7777778,0.7777778,0.7777778,0.77811965,0.7952120375,0.7838461250000001,0.7777778,0.7777778,0.7777778,0.77794119,0.77794119,0.7777778,0.7777778,0.77811965,0.78923075,0.7777778,0.7545894,0.8,0.8,0.77826797,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.743818685,0.7376373700000001,0.7376373700000001,0.7376373700000001,0.75,0.75,0.75,0.75,0.75,0.75,0.71428573,0.71597746,0.71428573,0.71597746,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.72105265,0.72105265,0.72105265,0.72105265,0.71936092,0.71766919,0.71428573,0.71428573,0.75,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.75,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.7062820375,0.71428573,0.71428573,0.71428573,0.71428573,0.71047619,0.71047619,0.70857142,0.7098658825,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.71428573,0.72725927,0.71428573,0.7154135575,0.71428573,0.75,0.75,0.7447447,0.72527474,0.750266715,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.74642858,0.75,0.75,0.75,0.75,0.75,0.75,0.74821429,0.74285716,0.74285716,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.74821429,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.7446428700000001,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.750266715,0.75470008,0.75,0.75,0.75,0.75,0.75,0.75470008,0.75,0.75,0.75,0.75288347,0.75288347,0.75288347,0.75288347,0.75288347,0.75288347,0.75288347,0.72527474,0.72527474,0.72527474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
realm java,0.16666667,0.22,0.25,0.29597701,0.277298845,0.45109009,0.4738095275,0.4738095275,0.424019605,0.424019605,0.424019605,0.5,0.5,0.5,0.54545456,0.5611888300000001,0.52272728,0.52272728,0.52272728,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.412499995,0.412499995,0.412499995,0.412499995,0.412499995,0.41371457,0.40242915,0.401214575,0.4,0.4233007375,0.4233007375,0.44320297,0.4407747,0.44761829,0.412499995,0.412499995,0.412499995,0.40833333,0.40833333,0.40833333,0.40833333,0.40833333,0.40833333,0.47619048,0.40833333,0.41666666,0.5178571350000001,0.5178571350000001,0.5178571350000001,0.5178571350000001,0.5178571350000001,0.556318685,0.6,0.97794115,0.73596493,0.63333335,0.6,0.6,0.53571427,0.53571427,0.63333335,0.6666667,0.6166666749999999,0.63333335,0.6166666749999999,0.6958054305,0.602380975,0.7272935500000001,0.731818182,0.73185484,0.72769953875,0.994131455,0.894861682,0.88308922775,0.876908351,0.876908351,0.920328476,1.0,1.0,1.0,0.980769225,1.0,0.8560439675,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.977235772,0.967741936,0.967741936,0.96551724,0.967741936,0.971370968,0.971370968,0.971370968,0.966629588,0.99121451475,0.967772483,0.920678455,0.96969697,0.954545455,1.0,1.0,0.954545455,0.954545455,0.8832474849999999,0.864532,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98914089775,0.98876698,0.9952389845,0.98373795975,0.9826274355,0.984848484,0.983333333,0.984848484,1.0,0.984848484,0.9840909085,1.0,1.0,0.9826274355,0.98151691125,0.98151691125,0.98151691125,0.98151691125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orientdb,0.5629056674999999,0.5,0.5,0.46666667,0.4738095275,0.5,0.47619048,0.47619048,0.47619048,0.4424242475,0.4563492075,0.47619048,0.47619048,0.4888889,0.5,0.5,0.5,0.5,0.5,0.5,0.506818175,0.5,0.5,0.5059523875,0.5309874175,0.53571427,0.528877025,0.5294118,0.4999999959999999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5086206799999999,0.3,0.3107142941999999,0.50980395,0.46666667,0.4619214299999999,0.4619214299999999,0.461729945,0.4418506,0.40441176,0.4274891825,0.267359729595,0.442839435,0.45614034,0.31,0.3286055611245999,0.3292100094639999,0.3333333397337999,0.3333333397071799,0.3333333396778978,0.3333333399999998,0.3333333398051281,0.3333333399999998,0.4,0.44444445,0.1,0.5,0.5,0.5,0.5,0.5342970675000001,0.5356318525,0.5,0.5,0.50980395,0.5,0.5,0.5,0.5,0.45,0.6,0.45817668375,0.6336206600000001,0.6333333,0.63390802,0.3,0.6,0.6,0.6333333,0.62222224,0.62222224,0.62222224,0.6,0.6068054675000001,0.6068054675000001,0.6068054675000001,0.69352345,0.575,0.76715687,0.49725275,0.6973917000000001,0.5,0.5123328875000001,0.5,0.492521375,0.508221925,0.3273809624999999,0.46153846,0.3333333399999999,0.3333333399999999,0.33333334,0.33333334,0.3595062925,0.35714287,0.33333334,0.33333334,0.33333334,0.33333334,0.33333334,0.3,0.3279352299999999,0.33333334,0.33333334,0.33333334,0.2857143,0.33333334,0.3,0.3015873,0.3,0.3,0.26666668,0.2771321479999999,0.2857143,0.2857143,0.202564105,0.2857143,0.2777778,0.2,0.21428572,0.21428572,0.21428572,0.12,0.26666668,0.2,0.2,0.21428572,0.27097903,0.2,0.2857143,0.2857143,0.3,0.29285715,0.3,0.3181818,0.41666666,0.45833334,0.4361111175,0.43092491,0.241111108,0.264,0.2727272799999999,0.47619048,0.47619048,0.47619048,0.47619048,0.47619048,0.4740476175,0.31363636,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5090909,0.53346154,0.5178571375000001,0.5090909,0.49758065,0.4852941,0.47619048,0.4782581475,0.4666666799999999,0.5201298875,0.52380955,0.516450225,0.52380955,0.5719538,0.57019705,0.5714286,0.5735294,0.5735294,0.5833333,0.4922727329999999,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4754761925,0.4676518925,0.46666667,0.3909090999999999,0.3936363729999999,0.5113212125,0.5090909,0.5,0.5090909,0.5090909,0.506818175,0.5,0.519841275,0.34355223233,0.3399999999999999,0.3518091612509999,0.35714287,0.35714287,0.3646939999999999,0.52380955,0.5,0.5,0.53216374,0.4,0.44,0.5,0.5090909,0.53571427,0.3123126783495249,0.5178571375000001,0.32,0.3250909956802023,0.331357549098316,0.5090909,0.5090909,0.5090909,0.52380955,0.51904765,0.5294118,0.53078777,0.53216374,0.527807475,0.4901511198265801,0.53571427,0.53571427,0.5192613170916375,0.53571427,0.5349980725000001,0.50491386007459,0.5044961560820491,0.54545456,0.54545456,0.53571427,0.53571427,0.53571427,0.53571427,0.53571427,0.5090909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neo4j,0.90909094,0.90909094,1.0,1.0,1.0,0.875,1.0,0.8181818,0.5867132799999999,0.8181818,0.8090909,0.8181818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8181817999999998,1.0,0.8603571524999999,1.0,0.8815973936900001,0.8800328230590001,0.8783117953649002,0.8764186649013901,1.0,1.0,1.0,1.0,1.0,0.87083333,0.87083333,1.0,0.7418353208394424,0.735366151598176,1.0,0.87083333,0.87083333,1.0,1.0,1.0,1.0,1.0,0.635335489540601,0.9973544974,0.99670096405,0.997027730725,0.997027730725,1.0,1.0,1.0,1.0,1.0,0.997035573025,1.0,1.0,0.8988040200000003,0.47619048,0.047619048,0.0523809528,0.98865754125,0.648760893935,0.98865754125,0.098865754125,0.99021978025,0.207968960845,0.99047619,0.327350057788625,0.3600850635674875,0.3960935699242362,0.4357029269166598,1.0,0.38974475282057,0.362052558102627,1.0,0.356950380990913,0.3798838803700044,0.3571030364070049,0.3726987242557054,0.3878425193100759,0.4086541029395421,0.4222618022720922,0.86344539,0.4116006908868667,1.0,0.1,0.11,0.121,0.1331,1.0,1.0,1.0,0.3,0.3299999999999999,0.363,0.3993,1.0,0.1,1.0,1.0,1.0,0.41,0.4509999999999999,1.0,1.0,1.0,0.5695407331257499,1.0,0.577140028857,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857300000001,1.0,0.70878207175,0.7148214325000001,0.7198703532455,0.71874,1.0,1.0,0.668512,0.6666667000000002,0.6626001167122191,0.90444445,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7189743569999999,1.0,1.0,1.0,0.6398192965,1.0,0.5999999999999999,1.0,1.0,1.0,1.0,0.6564099999999999,1.0,1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8333332999999998,1.0,1.0,1.0,1.0,1.0,0.72,0.738984653145,0.7398818017399998,0.7413251066929498,0.7368358038598999,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8045454399999998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kafka,0.79532164,0.79532164,0.79532164,0.79532164,0.73406595,0.73406595,0.73406595,0.73406595,0.73406595,0.73406595,0.73406595,0.73406595,0.73406595,0.73406595,0.73406595,0.72527474,0.73406595,0.73406595,0.72527474,0.72527474,0.72527474,0.72527474,0.72527474,0.72527474,0.72527474,0.73406595,0.72527474,0.7051282,0.73406595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
