,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474
arduino,24031.0,24031.0,41149.0,41149.0,41149.0,41149.0,41419.0,41398.0,41398.0,41326.0,41326.0,41326.0,41335.0,41461.0,42717.0,42860.0,42860.0,42860.0,42860.0,42860.0,42909.0,42963.0,42963.0,42963.0,43089.0,43089.0,43089.0,43078.0,43078.0,43078.0,43095.0,43095.0,43096.0,43036.0,43036.0,43082.0,43082.0,43082.0,43082.0,43082.0,43082.0,43083.0,43083.0,43083.0,43176.0,43176.0,43222.0,43225.0,43225.0,43225.0,60829.0,60814.0,60814.0,60814.0,60814.0,60814.0,60827.0,60827.0,30177.0,30177.0,30183.0,30185.0,30185.0,30185.0,30185.0,30153.0,30153.0,30153.0,30153.0,30153.0,30157.0,30157.0,30157.0,30157.0,30157.0,30157.0,30162.0,30156.0,30156.0,30156.0,30156.0,30156.0,30156.0,30156.0,30156.0,30156.0,30167.0,30166.0,30166.0,30166.0,30169.0,43101.0,43272.0,30729.0,43283.0,43282.0,43281.0,43281.0,43281.0,43467.0,43467.0,52134.0,52158.0,52188.0,52188.0,52192.0,52193.0,52201.0,52201.0,52201.0,52201.0,52201.0,52201.0,52811.0,52381.0,52397.0,52410.0,52410.0,52441.0,52441.0,52446.0,52458.0,52458.0,52458.0,52442.0,52442.0,52506.0,52540.0,52542.0,52622.0,52622.0,52557.0,52557.0,52622.0,52643.0,52644.0,52557.0,52573.0,52644.0,52557.0,52644.0,52890.0,52893.0,52889.0,52894.0,52729.0,52894.0,52877.0,52958.0,52940.0,52958.0,52958.0,52958.0,53312.0,53073.0,53073.0,52966.0,53061.0,53291.0,53233.0,53233.0,53360.0,53235.0,53235.0,53535.0,53235.0,53578.0,53361.0,53595.0,53382.0,53179.0,53608.0,53412.0,53647.0,53412.0,53412.0,53412.0,54190.0,54300.0,54301.0,54723.0,55025.0,55155.0,55153.0,55153.0,54429.0,54558.0,54700.0,55431.0,54814.0,54869.0,55461.0,55478.0,55488.0,56904.0,56932.0,56932.0,56934.0,57218.0,57356.0,56145.0,57422.0,57445.0,57456.0,57456.0,57085.0,57116.0,57152.0,57196.0,57198.0,57179.0,57266.0,57253.0,57236.0,57210.0,57194.0,57202.0,57210.0,57214.0,57216.0,57216.0,57217.0,57217.0,57213.0,57212.0,57212.0,57213.0,57214.0,57214.0,57214.0,57214.0,57214.0,57214.0,25581.0,25996.0,26341.0,22402.0,21443.0,21404.0,21994.0,21519.0,21519.0,21696.0,22172.0,22893.0,21750.0,21775.0,21769.0,21785.0,21944.0,21942.0,21931.0,21900.0,21900.0,21956.0,21956.0,21969.0,21969.0,22324.0,22341.0,22341.0,22341.0,22341.0,22354.0,22354.0,22371.0,22446.0,22279.0,22279.0,22370.0,22389.0,22463.0,22437.0,22510.0,22390.0,22407.0,22434.0,22244.0,22449.0,22293.0,22118.0,22178.0,22177.0,22178.0,22218.0,22231.0,22231.0,22234.0,22232.0,22239.0,22291.0,22288.0,22289.0,22289.0,22293.0,22321.0,22315.0,22326.0,22326.0,22326.0,22322.0,22323.0,22340.0,22340.0,22340.0,22340.0,22340.0,22340.0,22536.0,22895.0,22974.0,22979.0,22979.0,22979.0,22981.0,22547.0,22548.0,22565.0,22566.0,22642.0,22576.0,22623.0,22615.0,22622.0,22622.0,22622.0,22637.0,22639.0,22672.0,22956.0,22886.0,22882.0,22547.0,22926.0,22928.0,22928.0,22928.0,23591.0,24097.0,24115.0,24448.0,24448.0,24452.0,24452.0,24443.0,24535.0,24535.0,24535.0,24535.0,24535.0,24526.0,24524.0,24693.0,24695.0,24698.0,24719.0,24717.0,24725.0,24743.0,24746.0,24747.0,24742.0,24742.0,24767.0,24767.0,24767.0,24767.0,24767.0,24767.0,24767.0,24769.0,24774.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bazel,120656.0,123550.0,124524.0,124613.0,125662.0,129926.0,133620.0,135169.0,139060.0,140198.0,141816.0,143777.0,146543.0,149009.0,150969.0,153041.0,154875.0,157971.0,157738.0,159568.0,160332.0,163940.0,165151.0,168812.0,170946.0,173155.0,174532.0,176797.0,179800.0,182417.0,183366.0,183760.0,202516.0,204271.0,206604.0,209436.0,210466.0,212418.0,216505.0,216808.0,219018.0,220770.0,222884.0,225545.0,225940.0,227298.0,226685.0,230071.0,231977.0,233517.0,236374.0,238659.0,245921.0,292405.0,293093.0,293942.0,294388.0,293373.0,294499.0,294888.0,296268.0,298743.0,299520.0,345090.0,347264.0,346799.0,349421.0,351113.0,353624.0,354507.0,356753.0,358322.0,360076.0,363175.0,363669.0,349219.0,351794.0,354402.0,354593.0,357200.0,357790.0,360369.0,361557.0,362672.0,364095.0,365378.0,366529.0,370279.0,370598.0,372392.0,374112.0,377628.0,379570.0,379874.0,380140.0,380339.0,380699.0,382954.0,385127.0,386780.0,387577.0,388764.0,388547.0,390386.0,389947.0,390071.0,391530.0,392557.0,392697.0,392898.0,393028.0,393106.0,393583.0,393580.0,394637.0,396087.0,396090.0,396025.0,393262.0,394618.0,396896.0,354148.0,354904.0,356832.0,358080.0,358149.0,353432.0,353857.0,354459.0,354887.0,355237.0,355718.0,356725.0,357318.0,367358.0,358328.0,359767.0,361844.0,362042.0,363454.0,363704.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buck,39036.0,39414.0,40141.0,40976.0,41063.0,43018.0,43590.0,44631.0,44829.0,44829.0,48615.0,49310.0,50035.0,51202.0,51541.0,53545.0,54084.0,54084.0,54084.0,55785.0,57787.0,101701.0,101701.0,103990.0,104193.0,105104.0,106044.0,106658.0,107655.0,107695.0,109353.0,88805.0,90606.0,90584.0,92960.0,94560.0,95270.0,98030.0,99668.0,99189.0,99204.0,99204.0,101081.0,100007.0,100944.0,100757.0,101855.0,102985.0,103800.0,103681.0,104880.0,106350.0,107710.0,109207.0,110485.0,113630.0,118841.0,120777.0,123466.0,125702.0,126508.0,128769.0,130250.0,132062.0,134603.0,135534.0,135677.0,137574.0,139847.0,147299.0,149830.0,151687.0,153647.0,156028.0,156994.0,167606.0,171085.0,172431.0,176825.0,179006.0,181371.0,189788.0,191666.0,197689.0,195952.0,196153.0,197566.0,200428.0,204343.0,206381.0,207919.0,217405.0,233001.0,235032.0,237384.0,240577.0,251267.0,252442.0,257605.0,257339.0,259901.0,264477.0,266996.0,273423.0,276803.0,285154.0,288288.0,290451.0,291563.0,300453.0,303738.0,314203.0,318320.0,322313.0,322762.0,324532.0,326125.0,327857.0,335177.0,337331.0,337213.0,339740.0,344249.0,354466.0,360011.0,361251.0,362807.0,364589.0,366479.0,409648.0,393351.0,394665.0,397890.0,368480.0,370757.0,371899.0,372706.0,377034.0,377968.0,381423.0,380926.0,380948.0,383764.0,385759.0,382702.0,386177.0,387080.0,388004.0,388556.0,390229.0,392694.0,394341.0,400245.0,401918.0,402860.0,404134.0,404815.0,320289.0,321262.0,322697.0,324672.0,326180.0,327671.0,328637.0,330623.0,336652.0,337905.0,338739.0,338739.0,338742.0,338767.0,338767.0,338776.0,338903.0,338909.0,338910.0,338917.0,338921.0,338995.0,339088.0,339088.0,339088.0,339369.0,339369.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dbeaver,114453.0,115718.0,117609.0,118091.0,118868.0,118983.0,119020.0,121854.0,123686.0,123957.0,126778.0,126899.0,127053.0,127756.0,128443.0,128615.0,130477.0,130790.0,131076.0,136247.0,136543.0,136605.0,142563.0,145064.0,148951.0,149240.0,149375.0,149894.0,150858.0,151284.0,151517.0,151925.0,153000.0,153226.0,152687.0,152263.0,153667.0,154054.0,154095.0,154105.0,154375.0,154379.0,154894.0,155001.0,155001.0,155002.0,155254.0,155368.0,155483.0,155510.0,155518.0,155529.0,156910.0,156986.0,156993.0,157267.0,157357.0,158297.0,158570.0,158956.0,155714.0,156162.0,156234.0,155764.0,156089.0,156330.0,158831.0,158999.0,159639.0,160027.0,159073.0,160142.0,159438.0,161615.0,160734.0,161719.0,163631.0,165189.0,168459.0,168456.0,170685.0,172407.0,172779.0,173549.0,175212.0,177032.0,177827.0,178855.0,180127.0,181469.0,181877.0,182608.0,183122.0,183129.0,185167.0,186087.0,187383.0,190852.0,192564.0,194036.0,196228.0,197989.0,198835.0,199218.0,201171.0,202657.0,204624.0,206028.0,207152.0,210079.0,211493.0,212424.0,212859.0,213067.0,213125.0,213594.0,213884.0,214875.0,217459.0,219568.0,221424.0,222262.0,222884.0,223509.0,224032.0,225786.0,228371.0,230806.0,233282.0,235675.0,236090.0,237404.0,238169.0,238784.0,239511.0,239758.0,240418.0,242368.0,243005.0,244736.0,245268.0,246104.0,248639.0,250416.0,251683.0,252941.0,254544.0,255906.0,260431.0,255316.0,262092.0,263519.0,266643.0,269476.0,274736.0,275743.0,277528.0,277794.0,280943.0,284559.0,287423.0,289235.0,289538.0,289964.0,294747.0,296861.0,298067.0,297085.0,298364.0,304230.0,305906.0,305901.0,306660.0,307927.0,310317.0,311726.0,314136.0,316869.0,316882.0,317995.0,318802.0,319708.0,321298.0,322326.0,323264.0,325026.0,326157.0,327090.0,328265.0,328492.0,329346.0,331250.0,331434.0,333096.0,333810.0,334396.0,335389.0,336761.0,337615.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eclipse jdt core,100722.0,100951.0,101391.0,102170.0,102868.0,103143.0,102737.0,103940.0,105037.0,106032.0,108384.0,108952.0,109169.0,109314.0,109863.0,118765.0,107808.0,108985.0,111515.0,112616.0,118975.0,120261.0,120878.0,121963.0,122307.0,122332.0,123826.0,124194.0,124297.0,124360.0,125572.0,126717.0,127200.0,129115.0,129078.0,129992.0,133643.0,133972.0,134216.0,138843.0,141424.0,142254.0,142528.0,142698.0,141472.0,141592.0,141689.0,146814.0,147226.0,149314.0,148877.0,149349.0,148942.0,149178.0,150046.0,152022.0,153053.0,155661.0,156322.0,156461.0,156699.0,157376.0,157300.0,158930.0,159395.0,158243.0,165741.0,165664.0,172973.0,173719.0,176276.0,176984.0,176672.0,177025.0,190646.0,191360.0,193859.0,194215.0,194566.0,195451.0,196808.0,200133.0,199140.0,199809.0,202532.0,205012.0,204911.0,206861.0,208049.0,209301.0,210258.0,210987.0,212282.0,217692.0,219882.0,221425.0,223512.0,224706.0,225957.0,226457.0,227872.0,228360.0,228955.0,234329.0,235492.0,238235.0,239820.0,241704.0,244087.0,245011.0,245161.0,248063.0,256103.0,257307.0,257908.0,257525.0,259645.0,261069.0,261497.0,262206.0,262168.0,262438.0,262402.0,262854.0,262960.0,262822.0,262892.0,263436.0,263492.0,266778.0,267963.0,267920.0,269292.0,269903.0,270740.0,272062.0,272824.0,268535.0,269445.0,271484.0,273943.0,274684.0,276248.0,278023.0,278204.0,278259.0,278318.0,278507.0,280085.0,279421.0,279499.0,280231.0,281034.0,281372.0,282033.0,283398.0,283677.0,285038.0,284954.0,285092.0,285374.0,286285.0,286408.0,287920.0,289338.0,290264.0,290770.0,293884.0,294498.0,294642.0,294655.0,294997.0,295148.0,295188.0,295218.0,295275.0,295892.0,295726.0,296368.0,297319.0,297351.0,297313.0,297925.0,297952.0,298229.0,300522.0,300726.0,301160.0,301632.0,301722.0,301934.0,302106.0,302193.0,302502.0,302361.0,302586.0,302700.0,302751.0,302815.0,302936.0,302958.0,302975.0,303354.0,303801.0,303770.0,303945.0,304073.0,304354.0,304354.0,304471.0,304481.0,305042.0,305325.0,305511.0,305648.0,305801.0,306113.0,306292.0,306340.0,306340.0,306877.0,306970.0,304320.0,304420.0,304738.0,304994.0,305065.0,305172.0,305310.0,305530.0,305605.0,305680.0,306164.0,306288.0,306587.0,306677.0,307090.0,307394.0,307454.0,307769.0,308117.0,308235.0,308287.0,308287.0,308287.0,308287.0,308326.0,311796.0,311897.0,312223.0,312254.0,313073.0,313200.0,313201.0,313296.0,314158.0,314761.0,314834.0,315755.0,315963.0,315762.0,315771.0,315912.0,315918.0,316011.0,316130.0,316248.0,316378.0,317275.0,316377.0,316536.0,316554.0,320743.0,320804.0,316364.0,320463.0,320217.0,316678.0,316703.0,316859.0,321475.0,316929.0,317111.0,322074.0,324169.0,325495.0,325843.0,325992.0,318088.0,318045.0,329097.0,318061.0,318061.0,329723.0,329840.0,318124.0,331247.0,331909.0,331990.0,333338.0,333526.0,318214.0,318254.0,334479.0,334935.0,338485.0,338705.0,339774.0,340735.0,341695.0,343055.0,343478.0,343736.0,343970.0,344091.0,344222.0,344257.0,344257.0,344270.0,344897.0,344660.0,344856.0,344813.0,344907.0,345040.0,345192.0,345413.0,345610.0,345904.0,346029.0,346109.0,346168.0,346230.0,340826.0,341028.0,342007.0,342266.0,342598.0,342857.0,343057.0,342857.0,343816.0,343071.0,343199.0,343338.0,343373.0,343401.0,343475.0,345072.0,343601.0,344423.0,344542.0,344720.0,345329.0,345619.0,345770.0,348172.0,345908.0,346424.0,347131.0,347184.0,347302.0,347732.0,347771.0,353305.0,347758.0,347771.0,354315.0,347968.0,348003.0,348026.0,348080.0,355307.0,360936.0,361069.0,361251.0,361354.0,362201.0,362240.0,362594.0,362864.0,375046.0,363483.0,364051.0,365032.0,365232.0,375962.0,365339.0,378007.0,378123.0,365398.0,378854.0,379837.0,380030.0,380809.0,381294.0,383997.0,384094.0,384118.0,384096.0,384928.0,385243.0,384524.0,385351.0,386378.0,384906.0,387101.0,387802.0,388521.0,388821.0,388859.0,389371.0,389447.0,389552.0,389475.0,389645.0,389755.0,390023.0,390109.0,390457.0,390484.0,390989.0,391078.0,391093.0,391255.0,391289.0,391322.0,391496.0,391754.0,391848.0,393660.0,394337.0,392698.0,394823.0,394872.0,395289.0,395378.0,395446.0,395444.0,395666.0,395319.0,395470.0,395710.0,395950.0,396033.0,396932.0,397487.0,397311.0,397415.0,398699.0,399438.0,397896.0,400415.0,398112.0,401446.0,401640.0,401959.0,402050.0,403063.0,403354.0,403958.0,404692.0,404754.0,404814.0,404897.0,408258.0,408476.0,408788.0,409149.0,409581.0,409651.0,409662.0,409941.0,
j2objc,46482.0,46538.0,46694.0,46797.0,46797.0,48035.0,48035.0,48035.0,50467.0,50584.0,50584.0,50750.0,50750.0,50750.0,54072.0,58705.0,59842.0,59842.0,60396.0,60546.0,60648.0,60959.0,60959.0,63084.0,71244.0,72127.0,72609.0,75889.0,141377.0,162949.0,162949.0,168020.0,169121.0,169121.0,171616.0,171616.0,187426.0,195792.0,201796.0,201796.0,207581.0,207581.0,208094.0,209389.0,213231.0,216832.0,216832.0,216832.0,217775.0,217488.0,217086.0,218133.0,217625.0,218638.0,218691.0,219766.0,219766.0,219766.0,226949.0,227339.0,228022.0,230331.0,230331.0,230544.0,230416.0,234024.0,234013.0,234568.0,234992.0,237994.0,238728.0,238707.0,246064.0,246124.0,247610.0,247756.0,249789.0,250023.0,249953.0,250157.0,250157.0,247447.0,248369.0,223131.0,223666.0,224318.0,224315.0,224315.0,227150.0,227157.0,227553.0,227633.0,229773.0,229773.0,230816.0,230816.0,230816.0,261236.0,262152.0,263476.0,263963.0,263969.0,264389.0,264025.0,265148.0,267387.0,270086.0,292333.0,292381.0,292381.0,297574.0,301387.0,301838.0,303486.0,305024.0,305565.0,306130.0,306130.0,312199.0,312199.0,317117.0,317117.0,317631.0,317783.0,318034.0,318026.0,318039.0,318154.0,318184.0,318976.0,319007.0,318967.0,318994.0,318985.0,318998.0,319101.0,319073.0,319073.0,319148.0,319148.0,319304.0,319304.0,319304.0,319827.0,319827.0,320018.0,320123.0,320123.0,321391.0,321391.0,321396.0,470766.0,471641.0,471641.0,473934.0,473934.0,473934.0,476412.0,476487.0,476487.0,476487.0,476487.0,476699.0,476701.0,477605.0,477601.0,477630.0,478275.0,478311.0,478405.0,478412.0,478442.0,478498.0,478441.0,478452.0,478434.0,478434.0,478434.0,478434.0,478977.0,478982.0,479441.0,479496.0,479508.0,479573.0,479573.0,479573.0,479592.0,499510.0,502369.0,505531.0,510060.0,521062.0,521534.0,522771.0,522939.0,523228.0,523156.0,523883.0,524039.0,524062.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
