,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474
rxjava,6512.0,6904.0,6646.0,7091.0,8548.0,8829.0,10491.0,11452.0,13350.0,13879.0,14459.0,8881.0,14511.0,15561.0,15923.0,15983.0,15470.0,18779.0,19074.0,20104.0,13771.0,16051.0,16405.0,21363.0,24538.0,26947.0,27607.0,28025.0,30167.0,31287.0,33034.0,30722.0,28239.0,28358.0,29286.0,30598.0,31535.0,32687.0,33185.0,29171.0,24022.0,24136.0,24079.0,24009.0,24452.0,24607.0,25181.0,26083.0,26101.0,25782.0,27057.0,27911.0,28119.0,28406.0,28418.0,28707.0,28526.0,29417.0,30480.0,30940.0,31983.0,33665.0,33639.0,33765.0,30046.0,37197.0,64759.0,64798.0,64754.0,64754.0,64754.0,64754.0,64754.0,64754.0,64754.0,74245.0,74245.0,74245.0,74169.0,74169.0,74169.0,74169.0,74169.0,74169.0,71208.0,75217.0,80827.0,81392.0,84860.0,89105.0,96475.0,101443.0,100530.0,99477.0,101075.0,101711.0,102108.0,102546.0,106990.0,107441.0,109309.0,108883.0,110376.0,111635.0,111809.0,111806.0,111883.0,111935.0,112162.0,112266.0,112211.0,112214.0,112214.0,112214.0,112413.0,112599.0,112865.0,113029.0,113035.0,113157.0,113307.0,113307.0,113395.0,113761.0,113763.0,118162.0,123220.0,123220.0,123243.0,123226.0,123304.0,124674.0,124807.0,124815.0,124987.0,125000.0,125087.0,125221.0,125234.0,125234.0,125221.0,125276.0,125211.0,125245.0,125245.0,125241.0,125241.0,125642.0,125814.0,125862.0,125862.0,125862.0,125862.0,125862.0,125862.0,125862.0,125862.0,127285.0,127293.0,125662.0,125233.0,125279.0,124783.0,124635.0,124657.0,124601.0,124601.0,124616.0,124487.0,126777.0,130506.0,130820.0,133353.0,132740.0,132750.0,132750.0,132774.0,132774.0,132841.0,132885.0,132891.0,132891.0,132891.0,132891.0,132899.0,132903.0,132903.0,132903.0,132905.0,132903.0,132903.0,132903.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elasticsearch,98961.0,108890.0,114879.0,121199.0,123965.0,159815.0,163237.0,171497.0,97674.0,99792.0,102355.0,106262.0,104869.0,110448.0,114371.0,120603.0,123300.0,126512.0,128139.0,130844.0,132673.0,138024.0,142908.0,145061.0,144534.0,148718.0,151703.0,154952.0,158090.0,159136.0,161753.0,163422.0,165931.0,177457.0,180151.0,181801.0,182692.0,188277.0,190857.0,191324.0,191535.0,192214.0,193320.0,193675.0,182690.0,183965.0,186077.0,185670.0,187357.0,188379.0,188601.0,189176.0,189538.0,189022.0,191740.0,192613.0,203066.0,204361.0,206236.0,206309.0,207943.0,196162.0,211347.0,213853.0,213728.0,214065.0,214252.0,214259.0,214385.0,214925.0,216891.0,232100.0,231381.0,237509.0,239632.0,240671.0,231985.0,233904.0,234595.0,235040.0,236325.0,228910.0,239940.0,229200.0,242498.0,246436.0,249739.0,250937.0,251905.0,234227.0,255872.0,266487.0,277891.0,282461.0,286063.0,290369.0,291744.0,293847.0,296811.0,304709.0,306540.0,290777.0,291292.0,288014.0,289595.0,299301.0,298951.0,308186.0,308907.0,311657.0,291805.0,288876.0,290177.0,292822.0,279260.0,280701.0,296743.0,297013.0,297070.0,298172.0,298047.0,284202.0,297299.0,296251.0,284175.0,292579.0,284231.0,287177.0,271299.0,300503.0,267440.0,301390.0,303274.0,371363.0,372557.0,288804.0,372969.0,299421.0,359449.0,356259.0,306784.0,362595.0,372560.0,370685.0,324559.0,374602.0,326874.0,327324.0,333526.0,333922.0,333976.0,338519.0,338138.0,389644.0,307660.0,310317.0,308310.0,417965.0,309708.0,419581.0,420269.0,321489.0,418356.0,339714.0,420333.0,350123.0,406685.0,410043.0,408253.0,413467.0,414863.0,374327.0,416919.0,384818.0,417702.0,391024.0,420130.0,422062.0,424269.0,394262.0,428051.0,429744.0,431013.0,429787.0,407862.0,432279.0,432781.0,433356.0,435854.0,422081.0,426089.0,426558.0,444717.0,446485.0,427637.0,451153.0,430767.0,452829.0,452080.0,625630.0,627808.0,632830.0,636244.0,642534.0,646652.0,657713.0,665133.0,669981.0,685709.0,695437.0,699065.0,705164.0,721001.0,730982.0,747614.0,759294.0,758277.0,766492.0,776836.0,782569.0,779136.0,779218.0,785689.0,786454.0,790883.0,791029.0,791889.0,792469.0,807210.0,812624.0,816877.0,822244.0,826854.0,829421.0,834836.0,844344.0,846965.0,848063.0,858838.0,860182.0,862962.0,868444.0,879142.0,885379.0,890394.0,895866.0,910865.0,922636.0,929807.0,939146.0,942444.0,948441.0,957954.0,971001.0,971786.0,973360.0,979551.0,984772.0,990558.0,995645.0,996809.0,1001039.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
equinox framework,23889.0,24385.0,24391.0,25051.0,25706.0,25922.0,26174.0,27122.0,27274.0,27569.0,28324.0,28494.0,28589.0,28745.0,28750.0,28756.0,28756.0,28757.0,28783.0,28783.0,28796.0,28803.0,28803.0,28804.0,29274.0,29311.0,29311.0,30325.0,31927.0,32738.0,33102.0,33361.0,33453.0,33748.0,34245.0,35609.0,35717.0,35841.0,35841.0,35566.0,35607.0,35656.0,35650.0,35969.0,35585.0,35644.0,35776.0,35865.0,36221.0,36376.0,36392.0,37780.0,37910.0,37144.0,37165.0,38701.0,39407.0,39512.0,39555.0,39584.0,39584.0,39599.0,39599.0,39650.0,39732.0,39749.0,39981.0,39983.0,40178.0,40178.0,40242.0,40630.0,38503.0,40228.0,40389.0,40387.0,40383.0,40465.0,40485.0,40659.0,40789.0,40836.0,41065.0,41076.0,41084.0,41086.0,41096.0,41096.0,41217.0,41292.0,41253.0,41292.0,41847.0,41891.0,41899.0,42251.0,42246.0,42294.0,42934.0,42934.0,42952.0,43163.0,43181.0,43410.0,43425.0,43425.0,43615.0,43702.0,43776.0,43796.0,43796.0,43796.0,43823.0,43877.0,44062.0,44126.0,44214.0,44307.0,44341.0,44968.0,45164.0,45427.0,45440.0,49242.0,49310.0,49432.0,49549.0,49747.0,51031.0,51062.0,51011.0,51318.0,51342.0,51343.0,51343.0,51340.0,51241.0,51315.0,51354.0,51495.0,51508.0,51581.0,51779.0,51793.0,51948.0,51954.0,51986.0,51989.0,51989.0,52018.0,52065.0,52267.0,52318.0,52330.0,52384.0,52391.0,52417.0,52432.0,52432.0,52432.0,52436.0,52406.0,52449.0,53059.0,55073.0,55163.0,55660.0,55406.0,55564.0,55591.0,55662.0,56515.0,56506.0,57869.0,57869.0,57908.0,58643.0,58834.0,58854.0,58930.0,58927.0,58979.0,59059.0,59252.0,59265.0,59484.0,59507.0,59586.0,59597.0,59820.0,59849.0,59930.0,59884.0,60030.0,60030.0,60356.0,60356.0,60335.0,60432.0,60518.0,60565.0,60647.0,60655.0,60673.0,60681.0,60759.0,67771.0,67835.0,67912.0,67976.0,64538.0,58538.0,58672.0,59078.0,59341.0,60033.0,60853.0,60855.0,60875.0,60373.0,61090.0,61090.0,60875.0,61143.0,61281.0,61410.0,60940.0,61437.0,61577.0,61760.0,61777.0,62074.0,62124.0,62228.0,66296.0,66335.0,66390.0,66855.0,66956.0,66963.0,67375.0,67475.0,67548.0,67736.0,68012.0,68068.0,68079.0,68134.0,68184.0,67969.0,68008.0,68037.0,68279.0,68309.0,68310.0,68322.0,68324.0,68324.0,68344.0,68348.0,68369.0,68371.0,68370.0,68389.0,68402.0,68575.0,68616.0,68621.0,68622.0,68662.0,68662.0,68709.0,68754.0,68786.0,68782.0,68792.0,68800.0,69363.0,69361.0,69373.0,69385.0,69385.0,69376.0,69376.0,69692.0,69698.0,69716.0,69716.0,69737.0,69760.0,69760.0,69803.0,69932.0,69938.0,73211.0,73337.0,73384.0,73433.0,73745.0,73751.0,73884.0,73884.0,73896.0,73896.0,73900.0,73799.0,73794.0,73816.0,73816.0,73860.0,73944.0,73942.0,73959.0,73941.0,74038.0,73655.0,73653.0,73650.0,73650.0,74556.0,72496.0,72601.0,72601.0,72741.0,72771.0,72774.0,72780.0,72813.0,72813.0,72813.0,77633.0,77605.0,76059.0,73236.0,73270.0,73297.0,73307.0,73307.0,73307.0,75860.0,76027.0,76182.0,76424.0,76424.0,76458.0,76471.0,74201.0,74201.0,74201.0,74201.0,74201.0,74201.0,74201.0,74326.0,74382.0,74382.0,74382.0,74389.0,74701.0,74701.0,74701.0,74701.0,74701.0,74805.0,74902.0,74965.0,74678.0,74683.0,74803.0,74813.0,74709.0,74709.0,74710.0,74710.0,74850.0,74877.0,74764.0,74764.0,74899.0,74915.0,75370.0,75407.0,75435.0,75435.0,75578.0,75580.0,75609.0,76277.0,76271.0,75630.0,76852.0,77700.0,76155.0,77436.0,76154.0,77454.0,77462.0,77468.0,77454.0,77454.0,77429.0,76233.0,77529.0,77266.0,77264.0,77265.0,77275.0,77275.0,77281.0,77277.0,77277.0,77276.0,77293.0,77293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guava,7140.0,7140.0,7140.0,7140.0,7140.0,7140.0,7140.0,7140.0,31971.0,31971.0,31971.0,31971.0,31971.0,31971.0,33908.0,33827.0,34284.0,34358.0,34336.0,34400.0,34411.0,34912.0,52476.0,52564.0,54012.0,55666.0,55666.0,55923.0,56980.0,56980.0,57232.0,57232.0,57407.0,57455.0,57852.0,58488.0,59043.0,59446.0,59454.0,60764.0,62319.0,60511.0,60105.0,59432.0,60195.0,58712.0,55752.0,61020.0,58106.0,58730.0,60946.0,62653.0,64464.0,65037.0,65052.0,67008.0,67006.0,66972.0,66877.0,68278.0,69304.0,69952.0,71180.0,72589.0,72442.0,74911.0,75321.0,75961.0,90485.0,90635.0,90451.0,90199.0,93357.0,92012.0,90485.0,94061.0,94775.0,86230.0,85381.0,83212.0,84396.0,84028.0,83189.0,83249.0,84661.0,83935.0,84266.0,84368.0,84787.0,84833.0,84972.0,84802.0,84843.0,85002.0,85071.0,85099.0,85433.0,85540.0,85549.0,85564.0,85745.0,85758.0,85845.0,85952.0,87181.0,87248.0,87364.0,87549.0,87566.0,87589.0,87735.0,87789.0,87957.0,88439.0,88421.0,88418.0,88724.0,88500.0,88526.0,89171.0,89156.0,89233.0,89618.0,89569.0,89574.0,89432.0,89393.0,90691.0,90965.0,90892.0,89750.0,91481.0,92053.0,92247.0,91946.0,92171.0,91664.0,91686.0,92407.0,92609.0,92648.0,92774.0,93893.0,93824.0,91460.0,93019.0,93029.0,90724.0,90763.0,94437.0,95002.0,95131.0,97731.0,98173.0,98034.0,98234.0,98276.0,98054.0,98399.0,98006.0,97883.0,96419.0,96472.0,96578.0,96751.0,96919.0,96776.0,96810.0,97707.0,98239.0,98269.0,98227.0,97306.0,97397.0,100186.0,100443.0,100491.0,100721.0,100803.0,101182.0,101290.0,101302.0,101481.0,101616.0,102168.0,103460.0,105288.0,105424.0,105558.0,106371.0,106488.0,107039.0,107169.0,107087.0,107111.0,107289.0,107660.0,108158.0,108232.0,108260.0,108265.0,108876.0,110499.0,110579.0,110309.0,110720.0,110627.0,110813.0,111157.0,111169.0,111162.0,111194.0,111217.0,111217.0,111202.0,111197.0,111197.0,111272.0,111394.0,111434.0,111435.0,111435.0,111603.0,111605.0,111606.0,111606.0,111608.0,111608.0,111608.0,111608.0,111612.0,110979.0,111111.0,111190.0,111190.0,111029.0,111036.0,111143.0,111143.0,111176.0,111246.0,111248.0,111486.0,111392.0,111254.0,111268.0,111316.0,111414.0,111480.0,111879.0,111896.0,112065.0,112121.0,112121.0,112122.0,112226.0,112251.0,112313.0,112313.0,112361.0,112385.0,112396.0,112616.0,112824.0,112412.0,112412.0,112469.0,112524.0,113702.0,112840.0,112634.0,112639.0,112712.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minecraftforge,293.0,403.0,598.0,639.0,639.0,736.0,978.0,978.0,978.0,991.0,1530.0,1530.0,1739.0,1740.0,2833.0,3038.0,3095.0,3159.0,3460.0,2288.0,2416.0,6660.0,5545.0,6132.0,6392.0,1802.0,6392.0,933.0,6493.0,7578.0,7610.0,7774.0,8244.0,8785.0,5375.0,9296.0,6826.0,9403.0,9416.0,8036.0,9262.0,9442.0,10170.0,10730.0,10927.0,11144.0,11158.0,14315.0,12808.0,14436.0,13345.0,13522.0,13768.0,13816.0,14018.0,14022.0,14351.0,12071.0,12433.0,13080.0,11718.0,11808.0,13347.0,8141.0,13405.0,8073.0,13509.0,7989.0,13719.0,13811.0,15655.0,14931.0,16331.0,16402.0,11818.0,11658.0,16489.0,12320.0,12744.0,17092.0,12983.0,17092.0,15362.0,16020.0,17277.0,16091.0,14424.0,14369.0,14665.0,17278.0,17322.0,17520.0,19792.0,42299.0,43870.0,21324.0,45572.0,24955.0,46208.0,46208.0,46351.0,46351.0,46359.0,46364.0,50310.0,50881.0,51698.0,52274.0,53125.0,53902.0,57562.0,58460.0,58035.0,58128.0,59867.0,61003.0,61005.0,61423.0,61457.0,62690.0,62894.0,62973.0,63277.0,63748.0,63854.0,63939.0,64201.0,65328.0,65389.0,65766.0,65180.0,65670.0,65922.0,66009.0,66467.0,66461.0,66902.0,66902.0,66915.0,68008.0,68029.0,68196.0,68238.0,68426.0,67931.0,67263.0,67263.0,67480.0,67921.0,67969.0,68435.0,68735.0,68934.0,69772.0,69787.0,69890.0,70367.0,70371.0,70552.0,70565.0,70848.0,70949.0,71047.0,68863.0,69549.0,69681.0,69757.0,69765.0,69765.0,70068.0,70198.0,70332.0,70387.0,70309.0,51752.0,47090.0,46448.0,46448.0,46448.0,46613.0,45591.0,46792.0,45160.0,45856.0,46025.0,45984.0,46379.0,46792.0,47205.0,47831.0,47681.0,47736.0,46830.0,47239.0,47408.0,47295.0,47577.0,47658.0,49029.0,49231.0,49594.0,51945.0,51967.0,51989.0,52075.0,48135.0,47929.0,47373.0,47447.0,47476.0,47586.0,47627.0,47778.0,47848.0,48023.0,48386.0,48486.0,48656.0,48249.0,47804.0,47984.0,47289.0,47410.0,48175.0,48407.0,48947.0,49396.0,49606.0,49837.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
junit 5,740.0,1654.0,2253.0,2541.0,2726.0,3298.0,4549.0,4574.0,4588.0,4966.0,5074.0,5074.0,5068.0,5045.0,5289.0,5720.0,5579.0,5699.0,5885.0,6018.0,6146.0,6233.0,6262.0,6367.0,6502.0,6963.0,7102.0,7164.0,7206.0,7235.0,7610.0,7736.0,7867.0,8155.0,8831.0,8817.0,8936.0,8988.0,9045.0,9045.0,9075.0,9099.0,9254.0,9373.0,9476.0,9666.0,9936.0,9896.0,9974.0,9993.0,10052.0,10109.0,10109.0,10249.0,10486.0,11562.0,11937.0,11956.0,11956.0,12072.0,12213.0,12293.0,12300.0,12720.0,12893.0,13360.0,13454.0,13483.0,13471.0,13546.0,13551.0,13467.0,13474.0,14005.0,14453.0,14557.0,14825.0,14860.0,14920.0,15148.0,15232.0,15232.0,15745.0,15754.0,15776.0,16192.0,16203.0,16634.0,16643.0,16670.0,16342.0,16464.0,16464.0,16548.0,16655.0,16754.0,16967.0,17461.0,17463.0,17522.0,17553.0,17559.0,17596.0,17644.0,17644.0,17647.0,17665.0,17665.0,17723.0,17884.0,17933.0,18028.0,18369.0,18543.0,18546.0,18631.0,18816.0,18895.0,18895.0,18896.0,18896.0,18866.0,18921.0,18921.0,18921.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
