,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474
antlr4,31537.0,35795.0,37503.0,38732.0,38228.0,40380.0,43198.0,45251.0,45396.0,45768.0,45867.0,45867.0,45867.0,45867.0,45867.0,45867.0,45867.0,45867.0,45867.0,45865.0,45865.0,45865.0,45893.0,45893.0,45893.0,45886.0,45884.0,45884.0,45877.0,45878.0,45880.0,45881.0,45884.0,17256.0,16655.0,17579.0,17932.0,18027.0,19819.0,21275.0,20574.0,20761.0,16999.0,17432.0,18518.0,19446.0,18967.0,15944.0,15993.0,16402.0,16753.0,16775.0,16900.0,17268.0,17271.0,17943.0,17278.0,17308.0,17359.0,17115.0,18398.0,18607.0,18624.0,18863.0,18948.0,19493.0,19538.0,19445.0,19596.0,19980.0,19821.0,19253.0,19345.0,19347.0,18804.0,18889.0,19561.0,19561.0,19468.0,19620.0,19644.0,19761.0,19643.0,19621.0,19621.0,19612.0,19612.0,20134.0,19929.0,19640.0,19902.0,19902.0,20909.0,20963.0,21142.0,21142.0,22326.0,22364.0,22372.0,22373.0,22373.0,22566.0,22564.0,21979.0,22116.0,23174.0,23275.0,22476.0,23290.0,22505.0,22533.0,23478.0,23478.0,22775.0,23681.0,23035.0,23035.0,23687.0,23141.0,23134.0,23607.0,23606.0,23552.0,23552.0,23238.0,23219.0,23255.0,23552.0,23552.0,23366.0,23632.0,24180.0,24182.0,24182.0,24182.0,24182.0,24182.0,24182.0,24182.0,24182.0,24182.0,24186.0,24240.0,25328.0,24329.0,24329.0,24200.0,24197.0,24377.0,21320.0,21329.0,24251.0,24543.0,24367.0,24428.0,24251.0,24251.0,24428.0,24390.0,24390.0,24428.0,24251.0,24251.0,24428.0,24468.0,25354.0,25537.0,25674.0,25726.0,25754.0,25754.0,26090.0,26668.0,27060.0,27692.0,27703.0,27830.0,27703.0,27703.0,27703.0,27703.0,27703.0,27702.0,27725.0,27725.0,27725.0,27725.0,27725.0,27816.0,27988.0,28056.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28174.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28172.0,28174.0,28172.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28217.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28215.0,28259.0,28259.0,28257.0,28257.0,28257.0,28257.0,28257.0,28257.0,28303.0,28257.0,28257.0,28257.0,28257.0,28257.0,28257.0,28257.0,28257.0,28257.0,28257.0,28266.0,28266.0,28312.0,28312.0,28312.0,28312.0,28312.0,28312.0,28317.0,28317.0,28317.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corenlp,7048.0,7048.0,7048.0,7048.0,7126.0,7126.0,7128.0,7147.0,7315.0,7384.0,7384.0,7384.0,7986.0,8019.0,8024.0,8189.0,8192.0,8192.0,8128.0,8128.0,8128.0,8009.0,8044.0,8061.0,8061.0,8099.0,8099.0,8109.0,8291.0,8328.0,8328.0,8321.0,8321.0,8321.0,8422.0,8422.0,8401.0,8400.0,8420.0,8906.0,9329.0,9838.0,9941.0,10835.0,10836.0,10855.0,10869.0,10837.0,11303.0,11350.0,11450.0,11482.0,11483.0,11491.0,11498.0,11517.0,11523.0,11385.0,11346.0,11358.0,11263.0,11265.0,11298.0,11391.0,11404.0,11414.0,11418.0,11414.0,12071.0,12394.0,12635.0,12635.0,12635.0,12623.0,12555.0,12640.0,12387.0,12392.0,12433.0,12430.0,12424.0,12463.0,12533.0,12542.0,12565.0,12567.0,12574.0,12099.0,12127.0,12101.0,12132.0,12119.0,12186.0,12373.0,12379.0,12527.0,12653.0,12691.0,12666.0,12940.0,13144.0,13654.0,13933.0,13900.0,13917.0,13940.0,14450.0,14397.0,14455.0,14596.0,14703.0,14628.0,14631.0,15351.0,15399.0,15676.0,15890.0,16083.0,16087.0,16396.0,16088.0,16635.0,16936.0,18299.0,18371.0,18723.0,18786.0,20639.0,20873.0,21349.0,22404.0,23114.0,25058.0,25500.0,25488.0,25913.0,27325.0,27749.0,27795.0,27854.0,29299.0,29690.0,29888.0,29890.0,29884.0,40120.0,41696.0,43036.0,43212.0,44462.0,45410.0,46831.0,47163.0,49361.0,51499.0,51760.0,51564.0,52486.0,53754.0,55959.0,58317.0,61119.0,62429.0,63391.0,64302.0,64844.0,66047.0,67121.0,69041.0,70006.0,68498.0,69779.0,71550.0,71842.0,72866.0,73508.0,75103.0,76031.0,76008.0,76407.0,76263.0,77542.0,58532.0,59013.0,59838.0,60946.0,61108.0,61763.0,62434.0,63401.0,64190.0,64678.0,64796.0,64296.0,65664.0,66604.0,68216.0,68700.0,68934.0,70624.0,70905.0,71421.0,72219.0,72350.0,72531.0,72825.0,73488.0,74585.0,75023.0,75652.0,76160.0,77001.0,77585.0,78252.0,80005.0,80573.0,81219.0,81692.0,82231.0,82745.0,82910.0,83081.0,83414.0,83710.0,83897.0,84272.0,84577.0,84826.0,85376.0,85745.0,85874.0,86394.0,86889.0,87371.0,88070.0,88458.0,89546.0,89640.0,89816.0,90634.0,90210.0,91080.0,92319.0,92420.0,93061.0,93045.0,94106.0,94243.0,94201.0,94722.0,94770.0,95454.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
languagetool,54450.0,54968.0,55076.0,55578.0,55792.0,56107.0,56249.0,56341.0,56398.0,56459.0,56841.0,57466.0,57619.0,57728.0,58735.0,59175.0,59259.0,60532.0,61314.0,61768.0,62450.0,63288.0,63551.0,63710.0,63820.0,63850.0,64056.0,64417.0,64749.0,65488.0,67972.0,68236.0,68354.0,68896.0,69251.0,69446.0,70064.0,70545.0,71596.0,71740.0,73004.0,73179.0,73678.0,73995.0,73382.0,73559.0,73721.0,74019.0,74652.0,76376.0,77781.0,75068.0,79472.0,88577.0,89379.0,88876.0,89690.0,90327.0,96942.0,97156.0,98378.0,99562.0,102116.0,102913.0,103978.0,104777.0,105606.0,106359.0,107578.0,108074.0,108680.0,109450.0,109926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
